Python开发工程师,北京多铁克数字技术有限公司,北京-海淀区,6-8千/月,04-03,"['北京-海淀区\xa0\xa0', '\xa0\xa01年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa004-03发布']",民营公司,少于50人,电子技术/半导体/集成电路,岗位职责；（1）；负责linux系统环境视频编解码服务器后端python程序的设计和维护；（2）：负责通过python语言进行linux系统环境中的中断、cpu亲和性、网卡、路由等参数的配置和优化；（3）：负责视频编解码服务器前段用户交互web页面程序的设计和维护；任职要求：（1）：熟悉TCP/IP协议，熟悉上层socket编程和数据链路层自定义以太网帧协议；（2）；同时具备C/C++编程能力或者一定的C/C++语言编程基础者优先；（3）；熟悉视频编解码算法或了解流媒体视频直播通信技术者优先；（4）：熟悉ffmpeg开源架构者优先；薪酬福利：（1）；行业内极具竞争力的薪酬待遇：基本工资+各类补贴+年终奖金等；（2）：国家规定的各类社会保险和法定假期以及年假；（3）；每年全体员工组团旅游;（4）：管理层都是内部优秀员工提拔，晋升空间大；（5）：工作时间9:00-18:00                                                        职能类别：软件工程师Python开发工程师                                        关键字：python软件开发                            微信分享
Python开发工程师 助理,青岛好驻大数据科技有限公司,青岛-市北区,4.5-6千/月,04-03,"['青岛-市北区\xa0\xa0', '\xa0\xa0在校生/应届生\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招若干人\xa0\xa0', '\xa0\xa004-03发布']",民营公司,50-150人,"计算机软件,互联网/电子商务","1.完成客户端的需求开发工作2.维护服务的稳定运行,在出现异常的时候能够及时发现以及处理3.自主分析发现代码、架构上存在的问题并优化4.协助游戏接入SDK并且分析接入中遇到的问题并解决                                                        职能类别：Python开发工程师大数据开发工程师                                        关键字：python爬虫软件开发软件工程师django开发开发工程师工程师                            微信分享"
RPA/.NET/Python开发工程师,普华永道商务服务（成都）有限公司,成都-高新区,6.5-8千/月,04-03,"['成都-高新区\xa0\xa0', '\xa0\xa01年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa004-03发布\xa0\xa0', '\xa0\xa0英语良好']",外资（非欧美）,1000-5000人,"会计/审计,专业服务(咨询、人力资源、财会)","PwCBusinessServices(Chengdu)Co.,Ltd(SDC)isoperationalinChengduon1July2012.TheSDCwillservePwCChinamainlandandHongKongarea.普华永道商务服务（成都）有限公司（以下简称服务中心）于2012年7月1日在成都正式投入运营。该服务中心将为普华永道中国大陆以及中国香港地区的业务提供支持服务。Job Description &   Responsibilities 1.Accordingtotherequirementsofthebusinessdepartment,completethedevelopmentofautomationtools(RPA,Excel,Word,Webautomation),根据业务部门的需求，完成自动化工具（RPA、Excel、Word、WebAutomation）的开发；2.ExecuteotherI&Dactivitiesassignedbymanagers.完成经理分配的其他I&D部门相关的工作。Who we are looking for1.Bachelordegreeorabove，IT related major.本科以上的学历,计算机相关专业。2.Atleastoneyearsoftwaredevelopmentexperience至少一年软件开发经验3.Familiarwithsoftwareengineering,masteratleastoneprogramminglanguage,suchaspython,C#,VBA,etc熟悉软件开发流程和方法,掌握至少一种编程语言，例如Python,C#,VBA等4.FamiliarwithSQLstatementandatleastonedatabase,suchasSQLserver,Mysql,Access,etc熟练使用SQL语句，至少熟悉一种数据库，如SQLServer，MySql，Access等5.Atleastoneofthefollowingpracticaldevelopmentexperience,suchasExcel,Word,RPA,Selenium,etc至少有以下一种实际开发经验，如Excel，Word，RPA，Selenium等6.Goodcommunicationability,teamassistanceability,learningability,finishtasksontimeandwithquality良好的沟通能力、团队协助能力，学习能力，按时按质完成任务7.FamiliarwiththeRPAtechnologysuchasUiPath,BluePrism,AutomationAnywhere,etc熟悉UiPath,BluePrism,AutomationAnywhere等RPA技术优先8.FamiliarwithAlteryx,Tableau,PowerBIispreferred熟悉Alteryx，Tableau，PowerBI等软件优先                                                        职能类别：软件工程师                                        关键字：.NETC#pythonVBARPASQL                            微信分享"
Python开发工程师,深圳市壹佳壹信息技术有限公司,深圳-龙岗区,1-1.5万/月,04-03,"['深圳-龙岗区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa004-03发布']",民营公司,150-500人,"互联网/电子商务,金融/投资/证券","岗位职责：1.负责项目对接工作, 给客户端提供开发接口2.负责项目的维护以及优化升级, 技术方案设计和重构.技能要求：1.统招大专及以上学历，计算机相关专业2.熟练掌握Python, 并掌握常用Web框架(包括但不限于Tornado, Flask, Django) ;3.熟悉 RESTful接口开发; 熟悉Mysql, 熟悉Redis等NoSQL; 熟练使用Linux;4.拥有C/C++, Rust, Java,Golang中任意一门语言的学习或开发经验更佳;5.了解区块链技术, 愿意学习新技术;                                                        职能类别：软件工程师                                        关键字：PythonRESTful接口                            微信分享"
Python开发工程师,上海伦伟实业有限公司,上海,1.2-1.5万/月,04-03,"['上海\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招3人\xa0\xa0', '\xa0\xa004-03发布']",民营公司,150-500人,"计算机硬件,计算机服务(系统、数据服务、维修)",任职资格：1、大学本科或以上，计算机相关专业毕业；2、熟练掌握面向对象的思想，熟悉Python、JAVA等语言，熟悉Linux操作系统，具有2年及以上相关开发经验;3、有过软件集成开发或二开经验者优先录用;4、熟悉各种通信协议和消息传输协议；5、具有软件系统需求分析和概要设计能力；6、性格开朗，善于沟通，表达能力要好需要跟其他部门人员沟通。                                                        职能类别：Python开发工程师                                        关键字：Python开发软件开发JAVA开发软件工程师开发工程师                            微信分享
Python开发工程师,西安卓易软件科技有限公司,西安-碑林区,0.8-1.2万/月,04-03,"['西安-碑林区\xa0\xa0', '\xa0\xa03-4年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招2人\xa0\xa0', '\xa0\xa004-03发布']",民营公司,少于50人,"计算机软件,计算机服务(系统、数据服务、维修)","1、有多个完整的项目开发历程，具备良好的Web项目开发经验，对BS架构有深入理解。  2、能根据需求搭建出项目框架，设计出数据库表结构；并在Linux环境下进行开发,部署。  3、精通 Python,有tornado框架开发经验优先。  4、熟悉多线程；熟悉Socket；熟悉HTTP通信协议；熟悉HTML，JS。  5、熟悉Mysql，MongoDB，能写出高性能的sql 语句。  6、熟悉Redis;                                                          职能类别：Python开发工程师                                        关键字：python                            微信分享"
Python开发工程师,深圳希施玛数据科技有限公司,深圳-南山区,1.4-1.8万/月,04-03,"['深圳-南山区\xa0\xa0', '\xa0\xa05-7年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa004-03发布']",民营公司,150-500人,"金融/投资/证券,教育/培训/院校",岗位职责：1、负责软件设计、编码、自测、项目文档编写和评审以及研发相关工作；2、参与软件架构设计，以及代码审核和检查工作；3、参与系统稳定性、性能和扩展性调试；4、完成项目经理安排的其他工作。任职资格：1、全日制本科及以上学历，5年以上Python编程经验；2、能熟练使用Tornado、Django、flask等Web框架按照业务需求开发，Tornado优先；3、对MVC、MVT及Restful有深刻认识，熟悉API设计，能独立完成web前端技术简单需求，要求至少2年前后端分离项目经验；4、熟练掌握数据结构及算法，熟练掌握python基础语言；5、熟练掌握mysql数据库使用，了解常用的数据库设计模式及调优技巧，有一定的数据表结构设计能力；6、较好的文档产出能力，包括但不限于设计文档、API使用文档；7、产出高质量代码，熟悉基本的设计模式和实践；8、精通Socket、多线程、WebSocket等技术，熟悉redis、mongodb等缓存技术优先；9、能承受较大压力，具有高度的责任心，有良好的沟通、协调能力；10、熟悉金融证券业务者优先。                                                        职能类别：Python开发工程师                                        关键字：python                            微信分享
Python高级研发人员,上海橘澄信息科技有限公司,上海-松江区,1-2万/月,04-03,"['上海-松江区\xa0\xa0', '\xa0\xa03-4年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa004-03发布']",创业公司,少于50人,公关/市场推广/会展,"岗位职责：1.2年以上Python开发经验，具备常用web框架（如Django，Flask等）开发经验，能够进行数据自动化报表的开发，其中涉及到数据爬虫、数据清洗、数据入库、指标加工计算、数据图表绘制等2.对前端开发有过至少1年以上前端开发经验，熟练掌握ext.js，如Html, CSS5，熟悉JS等.熟悉Web页面在各种终端主流浏览器 兼容适配和性能优化；3.负责数据抽取、转换、加载脚本的开发与测试4.数据的采集、分类处理、存储的架构设计、研发。任职要求：1.数学、统计、计算机等相关专业本科及以上学历。2.Python基础扎实，掌握常见数据结构、算法.能够使用python开发网络爬虫、进行数据分析处理等方面的开发3.熟练使用sql语句，能够编写程序建表和数据入库；4.对web前端技术（如html、js、css等）有一定的了解，了解ECharts者优先。5.有企业数据分析相关项目经验者优先；6.善于思考，逻辑思维能力强，具备良好的沟通能力和团队合作精神                                                        职能类别：Python开发工程师爬虫开发工程师                                        关键字：python爬虫软件开发开发工程师                            微信分享"
Python爬虫工程师,计易数据科技（上海）有限公司,上海-浦东新区,1-1.5万/月,04-03,"['上海-浦东新区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa004-03发布']",民营公司,少于50人,"互联网/电子商务,法律",岗位职责：1.负责爬虫引擎核心功能开发及优化、架构设计、系统规划，以及爬虫技术的技术调研；2.负责大数据的数据采集与爬取、解析处理、入库及备份等数据日常工作；3.负责数据的清洗、整理、整合及合并等工作；4.破解反爬机制，优化爬虫路由调度策略，同时负责反爬策略的设计及优化；5.负责高性能爬虫系统的后台监控、报警模块的开发。职位要求：1.熟练使用CC、Java、C、.Net、Go中一种编程语言，熟悉python语言；2.熟悉爬虫的设计及实现流程，至少2年互联网数据抓取及爬虫经验；3.熟悉缓存数据库redis关系型数据库mysql、Oracle等，非关系型数据库MangDB具备sql调优经验；4.了解文本分类、统计分析、自然语言处理、机器学习算法等技术；5.熟悉反爬虫机制并有对应的破解方案；6.处理爬取过超过百万数量级的数据量；7.有大数据相关开发经验者优先，熟悉分布式计算，有多线程、分布式、网络数据抓取及处理经验优先；8.APP数据抓取工作经验优先，尤其图片、视频方向。福利：五险一金，交通补贴、餐费补贴、租房补贴、公租房、人才公寓、双定双限房、人才落户、居住证加分                                                        职能类别：软件工程师Python开发工程师                                        关键字：python、appium爬虫                            微信分享
C++、Python研发工程师,深圳市博英医疗仪器科技有限公司,深圳-福田区,0.8-1.5万/月,04-03,"['深圳-福田区\xa0\xa0', '\xa0\xa01年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa004-03发布']",民营公司,50-150人,医疗设备/器械,招聘要求：1．计算机相关专业毕业，大专及以上学历2．熟练掌握C、C++，熟悉Python3、熟练使用VisualStudio开发环境，熟悉Windows应用软件开发4、有独立完成项目开发经历5、了解数据库相关知识6、具有规范化、标准化的代码编写习惯和良好的技术文档习惯7、能够独立高质量的完成工作8、良好的沟通协作能力优先条件：1、重编程能力，不求资历2、擅长人机界面设计3、信号处理基础知识4、机器学习相关基础知识岗位职责：参与PCECG和HOLTER产品的研发注：面试+编程笔试，条件不符免谈！                                                        职能类别：Python开发工程师                                        关键字：C++python软件开发                            微信分享
